,Unnamed: 0,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
158,171,노원구,월계2동,0.3455496913020319,0.4324369645803367,0.3837733422255674,0.37156446119161857,0.43031319312152644,0.3774931334071907,0.1278772378516624,0.03469511666232977,0.0952388208672066,0.10213955488657134,0.2128675039204791,0.17713188210069852,0.3665467040180032,0.2950232062931452,0.33447645232874246
159,172,노원구,월계3동,0.20839852515770074,0.2607996126592752,0.23145093328479724,0.22408784508166937,0.259518781279262,0.22766338370973108,0.24616368286445012,0.052042674993494666,0.07695296726070293,0.19352757767981937,0.12837885532228638,0.10682695982001875,0.22106167199569154,0.17792636670486764,0.20172033438272252
160,173,노원구,공릉2동,1.214767471544147,1.5202165460379602,1.3491413374533083,1.3062214567873587,1.5127505035859514,1.327063486976266,0.29731457800511507,0.32960360829213287,0.25904959275880196,0.13976991721320287,0.7483280275650371,0.6227007400888468,1.2885817119874592,1.0371434364688048,1.1758398986334593
161,174,노원구,하계1동,0.2760835162378398,0.34550376036057834,0.3066230311862762,0.2968685129180846,0.3438069325902927,0.3016053365385936,0.1534526854219949,0.04336889582791222,0.1211437801430868,0.12364261907321793,0.1700745508042045,0.1415228955008696,0.2928594801124407,0.23571441739152263,0.26723634049751793
162,175,노원구,하계2동,0.09084038276820305,0.11368188244122253,0.10088886835919171,0.09767931717390402,0.11312357148810864,0.09923788396905148,0.1118925831202046,0.04336889582791222,0.029714512110568463,0.08601225674658639,0.05596001452952211,0.046565597873949816,0.09636021598381406,0.07755764694228338,0.08792937654004508
163,176,노원구,중계본동,0.35089324328906724,0.4391241341357027,0.3897079816390043,0.3773103035472449,0.4369675207821353,0.38333065518230425,0.5882352941176471,0.11275912915257177,0.13790581261571516,0.18277604558649607,0.21615926877047378,0.17987103491922876,0.372214952069271,0.2995854208033104,0.33964876836707875
164,177,노원구,중계1동,0.11221459047221394,0.1404305606626867,0.12462742551216865,0.1206626858132066,0.13974088244498356,0.12258797451753597,0.47953964194373405,0.06939023332465954,0.08685780463089243,0.10751532093323299,0.0691270759427696,0.05752220912753869,0.1190332079859736,0.09580650511768164,0.10861864180434114
165,178,노원구,중계4동,0.3028012758940102,0.37893960813740846,0.33629622775268997,0.3255977239130134,0.37707857120777655,0.3307929523102217,0.22058823529411764,0.16480180414606643,0.18209662549809905,0.19890334372648102,0.18653337908071538,0.1552186595729887,0.3212007198615003,0.2585254900770861,0.2930979218001503
166,179,노원구,상계1동,1.0010253945040384,1.252729763823319,1.111755764755074,1.0763877693500632,1.2465773946460805,1.093562578043391,0.33567774936061384,0.2602133749674733,0.27733544636530566,0.2204064079131276,0.6166574073927561,0.5131346275529582,1.0618517919658637,0.8546548552537718,0.9689472476569251
167,180,노원구,상계2동,0.10865222253898335,0.13597244762577596,0.12067099940346758,0.11683212441683406,0.13530466369013844,0.11869629333412689,0.23017902813299232,0.468384074941452,0.41676508011489605,0.32254596279969894,0.06693256470059399,0.05569610726905059,0.11525437600252299,0.09276502882248397,0.10517043092695846
168,181,노원구,상계5동,0.07837209494958233,0.09807848681203511,0.08704137656142918,0.08427235202553272,0.09759680663224861,0.08561699982711975,0.24616368286445012,0.156128024980484,0.1485725605528423,0.13439415116654121,0.04827922719517619,0.04017424129737928,0.08313430399100899,0.06691247970698544,0.07586063874694343
169,182,노원구,상계8동,0.11933932637355088,0.14934678673650803,0.1325402780634178,0.1283238088670191,0.1486133193257955,0.13037134033238415,0.25895140664961636,0.04336889582791222,0.07009577215826407,0.15589721535318782,0.07351609641385208,0.061174412885578996,0.12659087200360275,0.10188945784281439,0.1155150635591065
170,183,노원구,상계9동,0.14427590204566815,0.18055357799488286,0.16023526149201933,0.15513773890269417,0.17966684872307637,0.15761311206427767,0.18542199488491048,0.052042674993494666,0.0403812600476956,0.13439415116654121,0.0888776690692752,0.07395712603872007,0.15304269598921288,0.12317979231341032,0.1396525391453098
171,184,노원구,상계10동,0.14249471806161496,0.17832452147642752,0.15825704835420704,0.15322245820450794,0.17744873950287338,0.15566727147257317,0.16624040920716113,0.04336889582791222,0.02666686984281785,0.03763036232663154,0.08778041344818739,0.07304407509921,0.15115327999748762,0.12165905409844278,0.13792843398435617
172,185,노원구,상계3.4동,1.0010253945040384,1.252729763823319,1.111755764755074,1.0763877693500632,1.2465773946460805,1.093562578043391,0.19820971867007672,0.21684447913956112,0.16533459302547066,0.18277604558649607,0.6166574073927561,0.5131346275529582,1.0618517919658637,0.8546548552537718,0.9689472476569251
173,186,노원구,상계6.7동,0.1977114213231332,0.24742527354854318,0.21958165462484702,0.21259616089255182,0.2462101259580441,0.21598834015950388,0.48913043478260876,0.2775609332986382,0.2422875602861736,0.7526072465326309,0.12179532360902828,0.10134865418295828,0.20972517599461174,0.16880193754979983,0.1913757017505745
174,187,노원구,중계2.3동,0.16030655783239525,0.20061508666098093,0.17803917939848296,0.172375265447438,0.19962983201934234,0.17512568083764857,0.3037084398976982,0.12143290831815423,0.2209540644119193,0.36017632512633047,0.098752965632528,0.08217458447377872,0.17004743999083255,0.13686643584390595,0.1551694878157941
175,188,노원구,공릉1동,0.2511469406005983,0.3142969691022035,0.27892804775767466,0.270054582621342,0.3127534031930118,0.27436356480670004,0.23017902813299232,0.32092982912655044,0.3611456087284475,0.3279217288463606,0.1547129801620501,0.12874018234772855,0.2664076558731907,0.2144240829209267,0.24309886491131463
