,동,0~4세,5~9세,10~14세,15~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상+
383,거여2동,0.170383927,0.162918808,0.163376883,0.189589559,0.24876081,0.295150206,0.33921795,0.363232201,0.387779474,0.412617913,0.395835646,0.435995556,0.213544844
384,마천1동,0.139311908,0.184986405,0.21062804,0.207951744,0.330093031,0.301314368,0.386163329,0.469241515,0.532709196,0.543042145,0.535800313,0.447951134,0.259304454
385,마천2동,0.138287556,0.15638026,0.166580351,0.193950578,0.330337055,0.309688597,0.364965688,0.492319657,0.526852243,0.514938125,0.497694997,0.608661327,0.503355705
386,방이1동,0.163896363,0.183624208,0.199949812,0.223559601,0.330363448,0.308905286,0.343065378,0.348311854,0.309851189,0.23615197,0.276435602,0.261437785,0.106772422
387,방이2동,0.244137291,0.155290502,0.147092586,0.183621849,0.658984728,0.783228405,0.477756218,0.478924914,0.509625827,0.427684771,0.356115957,0.393153855,0.04575961
388,오륜동,0.129409837,0.272711917,0.386818796,0.319042963,0.299163243,0.232786632,0.438731178,0.393788096,0.39131944,0.27476974,0.288723691,0.382691406,0
389,오금동,0.527541418,0.407024579,0.38281446,0.45331644,0.767108888,0.775395643,0.765811656,0.901243795,0.91136573,0.693123947,0.768239391,0.939792323,0.137278829
390,송파1동,0.252332109,0.17190931,0.163643838,0.192802942,0.603287815,0.735175197,0.462476314,0.471334908,0.492884305,0.418175679,0.337960815,0.331529867,0.152532032
391,송파2동,0.248917601,0.258817504,0.232518407,0.247430442,0.390649228,0.404036082,0.40362813,0.43414772,0.446541767,0.32234095,0.319118903,0.369390957,0.167785235
392,석촌동,0.313451794,0.232118435,0.232785362,0.261890662,0.743675813,0.9509719,0.654177121,0.64128443,0.63335897,0.556033175,0.449759091,0.407252045,0.106772422
393,삼전동,0.274867859,0.256093109,0.252540083,0.271071755,0.699207974,0.89551817,0.667151802,0.596187366,0.579199117,0.476253846,0.392691374,0.501654155,0.198291641
394,가락본동,0.309012934,0.225307448,0.215967154,0.26464499,0.569921513,0.641292297,0.506968339,0.62075538,0.568178879,0.425855092,0.423411745,0.367248345,0.137278829
